Date,Close Price,Positive,Neutral,Negative
2017-01-01,998.325012,1,20,0
2017-01-02,1021.75,5,1,1
2017-01-03,1043.839966,9,0,0
2017-01-05,1013.380005,1,0,1
2017-01-06,902.200989,2,1,0
2017-01-07,908.585022,2,6,0
2017-01-08,911.198975,2,0,0
2017-01-09,902.828003,2,0,4
2017-01-10,907.679016,0,0,1
2017-01-11,777.757019,2,0,0
2017-01-12,804.833984,5,0,0
2017-01-14,818.411987,1,1,0
2017-01-15,821.797974,0,2,0
2017-01-16,831.533997,2,0,0
2017-01-17,907.937988,3,1,0
2017-01-18,886.617981,1,4,0
2017-01-19,899.072998,3,2,1
2017-01-20,895.026001,1,3,0
2017-01-21,921.789001,13,0,0
2017-01-22,924.672974,4,0,1
2017-01-24,892.687012,7,1,0
2017-01-26,917.585999,1,0,0
2017-01-28,921.590027,1,3,0
2017-01-29,919.495972,3,0,0
2017-01-30,920.382019,1,0,0
2017-01-31,970.403015,4,6,2
2017-02-02,1011.799988,2,7,4
2017-02-03,1029.910034,2,1,1
2017-02-04,1042.900024,18,0,0
2017-02-06,1038.150024,4,1,1
2017-02-07,1061.349976,5,0,0
2017-02-08,1063.069946,0,2,0
2017-02-12,999.18103,8,4,5
2017-02-13,990.642029,5,11,0
2017-02-14,1004.549988,6,3,0
2017-02-15,1007.47998,22,2,0
2017-02-16,1027.439941,1,1,0
2017-02-17,1046.209961,6,0,0
2017-02-18,1054.420044,5,0,0
2017-02-19,1047.869995,2,1,2
2017-02-20,1079.97998,3,7,5
2017-02-21,1115.300049,3,1,0
2017-02-22,1117.439941,6,0,2
2017-02-23,1166.719971,0,1,0
2017-02-24,1173.680054,0,1,0
2017-02-25,1143.839966,3,1,0
2017-02-26,1165.199951,4,2,5
2017-02-27,1179.969971,14,2,0
2017-02-28,1179.969971,2,0,0
2017-03-01,1222.5,1,0,1
2017-03-02,1251.01001,2,1,1
2017-03-03,1274.98999,3,1,0
2017-03-04,1255.150024,2,0,1
2017-03-05,1267.119995,5,0,0
2017-03-06,1272.829956,0,18,0
2017-03-07,1223.540039,2,52,0
2017-03-08,1150.0,17,13,0
2017-03-10,1116.719971,5,2,3
2017-03-11,1175.829956,32,8,1
2017-03-13,1231.920044,0,1,0
2017-03-14,1240.0,2,1,0
2017-03-15,1249.609985,7,0,0
2017-03-16,1187.810059,10,0,0
2017-03-17,1100.22998,0,2,0
2017-03-18,973.817993,5,0,0
2017-03-21,1120.540039,6,2,1
2017-03-23,1038.589966,0,3,0
2017-03-24,937.52002,1,0,0
2017-03-26,966.724976,1,3,0
2017-03-27,1045.77002,1,7,0
2017-03-29,1039.969971,0,6,0
2017-03-30,1026.430054,2,0,1
2017-03-31,1071.790039,1,0,0
2017-04-01,1080.5,8,0,0
2017-04-02,1102.170044,2,0,0
2017-04-03,1143.810059,0,0,1
2017-04-04,1133.25,0,7,0
2017-04-05,1124.780029,5,2,0
2017-04-06,1182.680054,7,0,0
2017-04-08,1175.949951,1,9,0
2017-04-10,1187.130005,3,0,0
2017-04-11,1205.01001,1,0,0
2017-04-12,1200.369995,12,0,0
2017-04-13,1169.280029,15,0,0
2017-04-14,1167.540039,5,0,0
2017-04-19,1210.290039,18,17,0
2017-04-20,1229.079956,8,11,0
2017-04-21,1222.050049,9,8,0
2017-04-22,1231.709961,8,1,5
2017-04-23,1207.209961,1,0,1
2017-04-24,1250.150024,11,1,0
2017-04-25,1265.48999,1,1,1
2017-04-26,1281.079956,16,0,0
2017-04-27,1317.72998,0,14,0
2017-04-30,1347.890015,2,0,0
2017-05-03,1490.089966,0,1,0
2017-05-04,1537.670044,6,0,2
2017-05-05,1555.449951,24,1,1
2017-05-08,1723.349976,1,0,1
2017-05-09,1755.359985,3,12,1
2017-05-10,1787.130005,3,2,1
2017-05-11,1848.569946,0,71,1
2017-05-12,1724.23999,0,9,0
2017-05-13,1804.910034,1,0,0
2017-05-14,1808.910034,2,0,0
2017-05-15,1738.430054,1,1,4
2017-05-16,1734.449951,1,3,0
2017-05-17,1839.089966,6,4,1
2017-05-19,1987.709961,5,30,0
2017-05-20,2084.72998,1,1,3
2017-05-21,2041.199951,3,1,1
2017-05-22,2173.399902,1,1,1
2017-05-23,2320.419922,3,0,0
2017-05-24,2443.639893,0,1,1
2017-05-25,2304.97998,0,0,37
2017-05-26,2202.419922,0,556,0
2017-05-27,2038.869995,7,0,0
2017-05-29,2255.610107,341,24,0
2017-05-30,2175.469971,103,35,24
2017-05-31,2286.409912,52,4,0
2017-06-01,2407.879883,1,64,0
2017-06-02,2488.550049,61,217,1
2017-06-03,2515.350098,47,858,23
2017-06-04,2511.810059,52,1,0
2017-06-05,2686.810059,32,99,1
2017-06-06,2863.199951,0,0,1
2017-06-07,2732.159912,198,279,54
2017-06-08,2805.620117,177,78,0
2017-06-11,2958.110107,688,0,0
2017-06-12,2659.629883,122,2,9
2017-06-13,2717.02002,193,321,103
2017-06-14,2506.370117,107,157,59
2017-06-15,2464.580078,93,25,49
2017-06-16,2518.560059,357,0,0
2017-06-18,2548.290039,68,1,0
